pot_id,appeared_at_unix,healthy_at_unix,delta_s
t2-boot-1777800000@eval-net@ubuntu-24@1,1777800001.000,1777800009.900,8.900
t2-boot-1777800000@eval-net@ubuntu-24@2,1777800001.100,1777800012.300,11.200
t2-boot-1777800000@eval-net@ubuntu-24@3,1777800001.200,1777800009.000,7.800
t2-boot-1777800000@eval-net@ubuntu-24@4,1777800001.300,1777800012.800,11.500
t2-boot-1777800000@eval-net@ubuntu-24@5,1777800001.400,1777800014.500,13.100
t2-boot-1777800000@eval-net@ubuntu-24@6,1777800001.500,1777800017.000,15.500
t2-boot-1777800000@eval-net@ubuntu-24@7,1777800001.600,1777800012.100,10.500
t2-boot-1777800000@eval-net@ubuntu-24@8,1777800001.700,1777800012.500,10.800
t2-boot-1777800000@eval-net@ubuntu-24@9,1777800001.800,1777800014.200,12.400
t2-boot-1777800000@eval-net@ubuntu-24@10,1777800001.900,1777800011.000,9.100
t2-boot-1777800000@eval-net@ubuntu-24@11,1777800002.000,1777800016.200,14.200
t2-boot-1777800000@eval-net@ubuntu-24@12,1777800002.100,1777800011.500,9.400
t2-boot-1777800000@eval-net@ubuntu-24@13,1777800002.200,1777800012.300,10.100
t2-boot-1777800000@eval-net@ubuntu-24@14,1777800002.300,1777800012.000,9.700
t2-boot-1777800000@eval-net@ubuntu-24@15,1777800002.400,1777800014.300,11.900
t2-boot-1777800000@eval-net@ubuntu-24@16,1777800002.500,1777800019.300,16.800
t2-boot-1777800000@eval-net@ubuntu-24@17,1777800002.600,1777800012.900,10.300
t2-boot-1777800000@eval-net@ubuntu-24@18,1777800002.700,1777800010.900,8.200
