scenario,run,action_time,action_kind,action_source,action_target,detected,event_time,event_kind,delta_s
S1_tcp_sweep,1,2026-05-03T09:21:00.000Z,connection,10.10.42.200,10.10.42.21,True,2026-05-03T09:21:00.261Z,connection,0.261
S1_tcp_sweep,1,2026-05-03T09:21:01.500Z,connection,10.10.42.200,10.10.42.5,True,2026-05-03T09:21:01.857Z,connection,0.357
S1_tcp_sweep,1,2026-05-03T09:21:03.000Z,connection,10.10.42.200,10.10.42.14,True,2026-05-03T09:21:03.626Z,connection,0.627
S1_tcp_sweep,1,2026-05-03T09:21:04.500Z,connection,10.10.42.200,10.10.42.4,True,2026-05-03T09:21:05.565Z,connection,1.065
S1_tcp_sweep,1,2026-05-03T09:21:06.000Z,connection,10.10.42.200,10.10.42.20,True,2026-05-03T09:21:07.039Z,connection,1.040
S1_tcp_sweep,1,2026-05-03T09:21:07.500Z,connection,10.10.42.200,10.10.42.6,True,2026-05-03T09:21:08.038Z,connection,0.539
S1_tcp_sweep,2,2026-05-03T09:21:09.000Z,connection,10.10.42.200,10.10.42.20,True,2026-05-03T09:21:09.824Z,connection,0.824
S1_tcp_sweep,2,2026-05-03T09:21:10.500Z,connection,10.10.42.200,10.10.42.18,False,,,
S1_tcp_sweep,2,2026-05-03T09:21:12.000Z,connection,10.10.42.200,10.10.42.22,True,2026-05-03T09:21:12.979Z,connection,0.980
S1_tcp_sweep,2,2026-05-03T09:21:13.500Z,connection,10.10.42.200,10.10.42.8,True,2026-05-03T09:21:13.667Z,connection,0.167
S1_tcp_sweep,2,2026-05-03T09:21:15.000Z,connection,10.10.42.200,10.10.42.16,True,2026-05-03T09:21:15.918Z,connection,0.919
S1_tcp_sweep,2,2026-05-03T09:21:16.500Z,connection,10.10.42.200,10.10.42.21,True,2026-05-03T09:21:17.101Z,connection,0.602
S1_tcp_sweep,3,2026-05-03T09:21:18.000Z,connection,10.10.42.200,10.10.42.1,True,2026-05-03T09:21:18.730Z,connection,0.731
S1_tcp_sweep,3,2026-05-03T09:21:19.500Z,connection,10.10.42.200,10.10.42.9,True,2026-05-03T09:21:20.664Z,connection,1.164
S1_tcp_sweep,3,2026-05-03T09:21:21.000Z,connection,10.10.42.200,10.10.42.3,True,2026-05-03T09:21:21.625Z,connection,0.626
S1_tcp_sweep,3,2026-05-03T09:21:22.500Z,connection,10.10.42.200,10.10.42.3,True,2026-05-03T09:21:23.339Z,connection,0.840
S1_tcp_sweep,3,2026-05-03T09:21:24.000Z,connection,10.10.42.200,10.10.42.20,True,2026-05-03T09:21:24.714Z,connection,0.714
S1_tcp_sweep,3,2026-05-03T09:21:25.500Z,connection,10.10.42.200,10.10.42.6,True,2026-05-03T09:21:26.448Z,connection,0.949
S1_tcp_sweep,4,2026-05-03T09:21:27.000Z,connection,10.10.42.200,10.10.42.9,True,2026-05-03T09:21:27.282Z,connection,0.282
S1_tcp_sweep,4,2026-05-03T09:21:28.500Z,connection,10.10.42.200,10.10.42.18,True,2026-05-03T09:21:29.413Z,connection,0.914
S1_tcp_sweep,4,2026-05-03T09:21:30.000Z,connection,10.10.42.200,10.10.42.18,True,2026-05-03T09:21:30.818Z,connection,0.819
S1_tcp_sweep,4,2026-05-03T09:21:31.500Z,connection,10.10.42.200,10.10.42.3,True,2026-05-03T09:21:32.263Z,connection,0.763
S1_tcp_sweep,4,2026-05-03T09:21:33.000Z,connection,10.10.42.200,10.10.42.17,True,2026-05-03T09:21:33.583Z,connection,0.584
S1_tcp_sweep,4,2026-05-03T09:21:34.500Z,connection,10.10.42.200,10.10.42.5,True,2026-05-03T09:21:35.244Z,connection,0.744
S1_tcp_sweep,5,2026-05-03T09:21:36.000Z,connection,10.10.42.200,10.10.42.18,True,2026-05-03T09:21:36.965Z,connection,0.965
S1_tcp_sweep,5,2026-05-03T09:21:37.500Z,connection,10.10.42.200,10.10.42.19,True,2026-05-03T09:21:38.445Z,connection,0.945
