deployment_id	backend	shadowtrap_ip	ipam_first_free	match
t2-ipam-phpipam-00	phpipam	10.10.42.18	10.10.42.19	no
t2-ipam-phpipam-01	phpipam	10.10.42.21	10.10.42.21	yes
t2-ipam-phpipam-02	phpipam	10.10.42.24	10.10.42.24	yes
t2-ipam-phpipam-03	phpipam	10.10.42.27	10.10.42.28	no
t2-ipam-phpipam-04	phpipam	10.10.42.30	10.10.42.30	yes
t2-ipam-phpipam-05	phpipam	10.10.42.33	10.10.42.33	yes
t2-ipam-phpipam-06	phpipam	10.10.42.36	10.10.42.36	yes
t2-ipam-phpipam-07	phpipam	10.10.42.39	10.10.42.39	yes
t2-ipam-phpipam-08	phpipam	10.10.42.42	10.10.42.42	yes
t2-ipam-phpipam-09	phpipam	10.10.42.45	10.10.42.45	yes
t2-ipam-phpipam-10	phpipam	10.10.42.48	10.10.42.48	yes
t2-ipam-phpipam-11	phpipam	10.10.42.51	10.10.42.51	yes
t2-ipam-phpipam-12	phpipam	10.10.42.54	10.10.42.54	yes
t2-ipam-phpipam-13	phpipam	10.10.42.57	10.10.42.58	no
t2-ipam-phpipam-14	phpipam	10.10.42.60	10.10.42.60	yes
t2-ipam-phpipam-15	phpipam	10.10.42.63	10.10.42.64	no
t2-ipam-phpipam-16	phpipam	10.10.42.66	10.10.42.67	no
t2-ipam-phpipam-17	phpipam	10.10.42.69	10.10.42.69	yes
t2-ipam-phpipam-18	phpipam	10.10.42.72	10.10.42.72	yes
t2-ipam-phpipam-19	phpipam	10.10.42.75	10.10.42.75	yes
t2-ipam-netbox-00	netbox	10.10.42.18	10.10.42.18	yes
t2-ipam-netbox-01	netbox	10.10.42.21	10.10.42.21	yes
t2-ipam-netbox-02	netbox	10.10.42.24	10.10.42.24	yes
t2-ipam-netbox-03	netbox	10.10.42.27	10.10.42.27	yes
t2-ipam-netbox-04	netbox	10.10.42.30	10.10.42.30	yes
t2-ipam-netbox-05	netbox	10.10.42.33	10.10.42.33	yes
t2-ipam-netbox-06	netbox	10.10.42.36	10.10.42.37	no
t2-ipam-netbox-07	netbox	10.10.42.39	10.10.42.40	no
t2-ipam-netbox-08	netbox	10.10.42.42	10.10.42.42	yes
t2-ipam-netbox-09	netbox	10.10.42.45	10.10.42.45	yes
t2-ipam-netbox-10	netbox	10.10.42.48	10.10.42.48	yes
t2-ipam-netbox-11	netbox	10.10.42.51	10.10.42.52	no
t2-ipam-netbox-12	netbox	10.10.42.54	10.10.42.55	no
t2-ipam-netbox-13	netbox	10.10.42.57	10.10.42.57	yes
t2-ipam-netbox-14	netbox	10.10.42.60	10.10.42.60	yes
t2-ipam-netbox-15	netbox	10.10.42.63	10.10.42.63	yes
t2-ipam-netbox-16	netbox	10.10.42.66	10.10.42.66	yes
t2-ipam-netbox-17	netbox	10.10.42.69	10.10.42.69	yes
t2-ipam-netbox-18	netbox	10.10.42.72	10.10.42.72	yes
t2-ipam-netbox-19	netbox	10.10.42.75	10.10.42.75	yes
