pot_id,deployment_created_at_unix,healthy_at_unix,delta_s
t2-boot-1777800000@eval-net@ubuntu-24@1,1777800000.000,1777800009.900,9.900
t2-boot-1777800000@eval-net@ubuntu-24@2,1777800000.000,1777800012.300,12.300
t2-boot-1777800000@eval-net@ubuntu-24@3,1777800000.000,1777800009.000,9.000
t2-boot-1777800000@eval-net@ubuntu-24@4,1777800000.000,1777800012.800,12.800
t2-boot-1777800000@eval-net@ubuntu-24@5,1777800000.000,1777800014.500,14.500
t2-boot-1777800000@eval-net@ubuntu-24@6,1777800000.000,1777800017.000,17.000
t2-boot-1777800000@eval-net@ubuntu-24@7,1777800000.000,1777800012.100,12.100
t2-boot-1777800000@eval-net@ubuntu-24@8,1777800000.000,1777800012.500,12.500
t2-boot-1777800000@eval-net@ubuntu-24@9,1777800000.000,1777800014.200,14.200
t2-boot-1777800000@eval-net@ubuntu-24@10,1777800000.000,1777800011.000,11.000
t2-boot-1777800000@eval-net@ubuntu-24@11,1777800000.000,1777800016.200,16.200
t2-boot-1777800000@eval-net@ubuntu-24@12,1777800000.000,1777800011.500,11.500
t2-boot-1777800000@eval-net@ubuntu-24@13,1777800000.000,1777800012.300,12.300
t2-boot-1777800000@eval-net@ubuntu-24@14,1777800000.000,1777800012.000,12.000
t2-boot-1777800000@eval-net@ubuntu-24@15,1777800000.000,1777800014.300,14.300
t2-boot-1777800000@eval-net@ubuntu-24@16,1777800000.000,1777800019.300,19.300
t2-boot-1777800000@eval-net@ubuntu-24@17,1777800000.000,1777800012.900,12.900
t2-boot-1777800000@eval-net@ubuntu-24@18,1777800000.000,1777800010.900,10.900
